Text: "คิว" -> Center: {x: 0, y: 0}
Text: "Namba Shabu - เดอะมอลล์งามวงศ์วาน" -> Center: {x: 0, y: 0}
Text: "เดอะมอลล์งามวงศ์วาน ชั้น 5 ติดกับ Sizzler" -> Center: {x: 0, y: 0}
Text: "12.3 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "10" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "HOTPOTMAN พระราม2" -> Center: {x: 0, y: 0}
Text: "สาขาพระราม 2" -> Center: {x: 0, y: 0}
Text: "13.9 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "153" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "HOTPOTMAN ประชาชื่น" -> Center: {x: 0, y: 0}
Text: "สาขาประชาชื่น" -> Center: {x: 0, y: 0}
Text: "14.0 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "218" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "จิ้มจุ่มศรีอุดม" -> Center: {x: 0, y: 0}
Text: "อาหารอีสาน-ไทย แยกศรีอุดม" -> Center: {x: 0, y: 0}
Text: "14.1 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "HOTPOTMAN บางนา" -> Center: {x: 0, y: 0}
Text: "สาขาบางนา" -> Center: {x: 0, y: 0}
Text: "15.6 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "181" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "หมูกระทะคุณปอ" -> Center: {x: 0, y: 0}
Text: "หลังเซ็นทรัลรามอินทรา" -> Center: {x: 0, y: 0}
Text: "15.9 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "Hotpot Man ประเวศ-ลาดกระบัง" -> Center: {x: 0, y: 0}
Text: "Hotpot Man ประเวศ-ลาดกระบัง" -> Center: {x: 0, y: 0}
Text: "16.3 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "111" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "ชาบูบอมบ์ ประเวศ" -> Center: {x: 0, y: 0}
Text: "Park 99" -> Center: {x: 0, y: 0}
Text: "17.9 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "อาดี้สุกี้ บุฟเฟต์หม่าล่า" -> Center: {x: 0, y: 0}
Text: "ปากซอยเทพรักษ์45" -> Center: {x: 0, y: 0}
Text: "18.0 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "Giant Suki&amp;BBQ" -> Center: {x: 0, y: 0}
Text: "ศรีนครินทร์ สมุทรปราการ" -> Center: {x: 0, y: 0}
Text: "18.4 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "อี้จาสุกี้หม่าล่า" -> Center: {x: 0, y: 0}
Text: "สาขาศรีนครินทร์" -> Center: {x: 0, y: 0}
Text: "18.6 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "HOTPOT MAN กิ่งแก้ว" -> Center: {x: 0, y: 0}
Text: "สาขากิ่งแก้ว" -> Center: {x: 0, y: 0}
Text: "22.8 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "80" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "ชาบูโกลด์" -> Center: {x: 0, y: 0}
Text: "ถนนไทยรามัญ" -> Center: {x: 0, y: 0}
Text: "24.5 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "บังฟาชาบูปิ้งย่าง Bangfashabu" -> Center: {x: 0, y: 0}
Text: "ตลาดมารวยหทัยราษฎร์" -> Center: {x: 0, y: 0}
Text: "27.8 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "HOTPOTMAN รังสิต" -> Center: {x: 0, y: 0}
Text: "สาขารังสิต" -> Center: {x: 0, y: 0}
Text: "28.5 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "405" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "DA POT เมืองเอก" -> Center: {x: 0, y: 0}
Text: "หม่าล่าหม้อไฟแบรนด์ใหม่จากสุกี้จินดา อยู่ในปั้ม shell เมืองเอก" -> Center: {x: 0, y: 0}
Text: "40.8 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "HOTPOTMAN โคราช" -> Center: {x: 0, y: 0}
Text: "สาขาโคราช" -> Center: {x: 0, y: 0}
Text: "220.9 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "7" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "ปังฟูกุ PungFuKu" -> Center: {x: 0, y: 0}
Text: "933/12 Khonkaen" -> Center: {x: 0, y: 0}
Text: "391.0 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "23" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
